"","Article.Number","Lat","Long","Herbivore_d","Enemy_d","Yield_d","wc2.0_bio_2.5m_01","wc2.0_bio_2.5m_02","wc2.0_bio_2.5m_03","wc2.0_bio_2.5m_04","wc2.0_bio_2.5m_05","wc2.0_bio_2.5m_06","wc2.0_bio_2.5m_07","wc2.0_bio_2.5m_08","wc2.0_bio_2.5m_09","wc2.0_bio_2.5m_10","wc2.0_bio_2.5m_11","wc2.0_bio_2.5m_12","wc2.0_bio_2.5m_13","wc2.0_bio_2.5m_14","wc2.0_bio_2.5m_15","wc2.0_bio_2.5m_16","wc2.0_bio_2.5m_17","wc2.0_bio_2.5m_18","wc2.0_bio_2.5m_19","tempSD"
"1",2,42.877708,-77.007188,-2.11,NA,NA,8.52200006445249,10.325333515803,28.0885023164133,966.319645678629,25.6240005493164,-11.1359996795654,36.7600002288818,15.4726668198903,-2.75799983739853,20.225999991099,-3.64533315102259,894,92,47,20.6160430521045,259,155,257,164,96.6319645678629
"2",4,-39.493456,176.906689,NA,-0.16,NA,14.0663888454437,8.97388871510824,49.8549373061569,335.402627507313,22.9200000762939,4.92000007629395,18,9.88111106554667,13.5111107826233,18.1033334732056,9.88111106554667,985,102,50,18.242535711366,296,198,243,296,33.5402627507313
"3",5,33.693516,-101.825157,0,NA,NA,15.52900022765,15.0413334667683,39.632517725958,842.082622465391,34.3040008544922,-3.64800000190735,37.9520008563995,25.7820008595784,5.01266660292943,25.7820008595784,5.01266660292943,486,75,10,58.6155300352545,200,41,200,41,84.2082622465391
"4",7,63.809403,20.230968,-1.65,NA,NA,3.09716659039259,7.94833322862784,25.6199496700155,853.434770204467,18.4479999542236,-12.576000213623,31.0240001678467,3.41866655151049,-3.2500001390775,14.1633332570394,-6.95800010363261,631,72,32,28.2970518030718,207,105,185,128,85.3434770204467
"5",8,51.97065,5.660447,-0.23,NA,NA,9.66599998002251,8.11266658455133,35.6318811911551,556.686248420466,20.3999996185303,-2.36800003051758,22.7679996490479,4.08533326288064,5.59133343895276,16.6146663029989,3.02733325461547,800,79,47,14.9031894735958,227,168,203,202,55.6686248420466
"6",11,27.755557,118.035614,-0.25,0.38,NA,18.2796667913596,9.07533381382624,31.0119382549882,736.68189946933,32.9640007019043,3.70000004768372,29.2640006542206,21.7879999478658,10.5553334156672,26.8146667480469,8.85199995835622,1757,330,44,65.4345593324281,872,170,573,225,73.668189946933
"7",16,52.285181,5.666437,-1.57,NA,NA,9.48033344869812,7.75933352857828,34.5166070956973,558.498793077614,20.0160007476807,-2.46399998664856,22.4800007343292,6.37666673958302,5.48999993999799,16.421333471934,2.7680000414451,847,83,51,14.7656631542774,241,177,216,209,55.8498793077614
"8",21,38.22952,115.725075,NA,NA,-1.09,13.0658332835883,12.5983332532148,28.7528158800861,1142.2624404526,33.5319976806641,-10.2840003967285,43.8159980773926,26.5466661453247,-1.53466673692067,26.5466661453247,-1.53466673692067,421,137,4,128.803778299579,311,13,311,13,114.22624404526
"9",22,-13.331354,-72.084508,-22.54,-0.07,-0.42,13.4570000668367,14.9766668279966,81.5900320766668,111.403860341977,22.0160007476807,3.66000008583069,18.35600066185,14.028000275294,11.9053331613541,14.6679999828339,11.9053331613541,567,113,3,87.1727099867317,311,16,188,16,11.1403860341977
"10",26,32.441974,-85.897467,-0.72,NA,NA,18.0985000034173,13.5330003301303,41.1637679765344,712.688224306414,34.2639999389648,1.38800001144409,32.8759999275208,10.6066667636236,23.2333331108093,26.625999768575,9.07666663328807,1397,169,68,22.4904188069363,438,265,333,402,71.2688224306414
"11",27,21.557231,-158.088741,0.02,-0.5,NA,23.6126667658488,8.40933322906494,67.1028846594343,154.26776456329,29.7360000610352,17.2040004730225,12.5319995880127,22.5300000508626,24.4099998474121,25.4680000940959,21.7280003229777,1128,177,41,44.548717881895,434,163,173,419,15.426776456329
"12",28,21.557231,-158.088741,-2.88,0,NA,23.6126667658488,8.40933322906494,67.1028846594343,154.26776456329,29.7360000610352,17.2040004730225,12.5319995880127,22.5300000508626,24.4099998474121,25.4680000940959,21.7280003229777,1128,177,41,44.548717881895,434,163,173,419,15.426776456329
"13",37,44.715765,-93.097157,NA,0.495,NA,7.01683334012826,10.9430000285308,24.7154220313002,1204.96909896404,26.7639999389648,-17.511999130249,44.2759990692139,21.0586667060852,-8.73733319838842,21.0586667060852,-8.73733319838842,768,107,18,50.3543121384988,313,65,313,65,120.496909896404
"14",52,29.321371,30.852847,-1.28,NA,NA,21.3481665253639,14.0210001071294,45.2407102588764,609.050065756362,35.523998260498,4.53200006484985,30.9919981956482,14.8413336277008,27.2539990743001,28.1499993006388,13.2606669267019,10,2,0,51.1329199942414,6,0,0,6,60.9050065756362
"15",55,26.184572,-97.991022,2.37,0.3,NA,23.1886665423711,11.2633332411448,43.5012110679509,530.998215173754,35.4599990844727,9.56799983978271,25.8919992446899,27.0773328145345,20.5520000457764,29.1319999694824,16.0533334414164,625,119,16,52.5294182870784,236,87,187,104,53.0998215173754
"16",57,29.666872,-82.5,-0.4,-0.21,NA,20.5424999594688,12.8069999615351,46.7613559922566,547.545851996421,33.8479995727539,6.46000003814697,27.3879995346069,26.8233331044515,17.5746665000916,26.8233331044515,13.4560002485911,1358,212,56,45.2445135173268,570,192,570,276,54.7545851996421
"17",58,15.06111111,-90.25,-0.46,NA,NA,21.2008333206177,8.96499983469645,73.0762967978422,113.67792296008,26.7679996490479,14.5,12.2679996490479,21.7319997151693,20.5213332176208,22.4466667175293,19.6113335291545,2012,354,39,74.3035219906882,937,123,560,202,11.367792296008
"18",59,29.773048,-82.417782,-0.47,NA,NA,20.3583334883054,13.3453332980474,47.4180395345956,553.184395307129,34.0960006713867,5.9520001411438,28.1440005302429,26.7233339945475,17.3273331324259,26.7233339945475,13.2046665350596,1339,208,57,44.9197090197982,561,190,561,271,55.3184395307129
"19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
